feature,importance
season_avg_minutes,0.9357752808532127
start_pct_price_interaction,0.03175642718035267
start_percentage,0.031465261578681826
price_form_interaction,0.00043937053586244515
selected_by_percent,0.00017395406769405724
current_price,0.00013194741147315849
form,0.00010748241875288882
price_tier,6.661276920927942e-05
is_home,2.7494700939472786e-05
congestion_index,2.094156025148544e-05
position_encoded,1.2733063509385313e-05
rotation_penalty,1.2019348760453227e-05
form_tier,5.715709092946887e-06
rotation_risk,3.685066150832692e-06
home_advantage,1.0737360565028093e-06
avg_minutes_last_5,0.0
sub_appearances_last_5,0.0
starts_last_5,0.0
games_played,0.0
is_dgw,0.0
