parameter,change_pct,avg_impact,max_impact,sensitivity_score
home_advantage,-10.0,-0.0021217855409995157,0.20500000000000007,0.20712178554099958
home_advantage,10.0,0.002121785540999517,0.20500000000000007,0.20712178554099958
penalty_bonus,-10.0,-0.0069868995633187835,0.10000000000000009,0.10698689956331887
penalty_bonus,10.0,0.0069868995633187835,0.10000000000000009,0.10698689956331887
rotation_risk,10.0,-0.0017176128093158722,0.02000000000000135,0.02171761280931722
rotation_risk,-10.0,0.0017176128093158592,0.020000000000000462,0.02171761280931632
base_points_weight,-10.0,0.0,0.0,0.0
base_points_weight,10.0,0.0,0.0,0.0
minutes_weight,10.0,0.0,0.0,0.0
minutes_weight,-10.0,0.0,0.0,0.0
fixture_weight,10.0,0.0,0.0,0.0
fixture_weight,-10.0,0.0,0.0,0.0
form_weight,10.0,0.0,0.0,0.0
form_weight,-10.0,0.0,0.0,0.0
set_piece_bonus,-10.0,0.0,0.0,0.0
set_piece_bonus,10.0,0.0,0.0,0.0
